# rank	legacy	wide
4043	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4044	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4045	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4046	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4047	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4048	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4049	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4050	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4051	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4052	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4053	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4054	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4055	be6a37ea7138422b34125f82c0eda556	7b51651ac7fbaee5e715ca1aed8bde85
4056	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4057	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4058	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4059	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4060	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4061	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4062	fc73964c94f5fdf2449ec279afc18479	8d85c6bb14041232d658947ec0495d96
4063	aa3ca774dfbe9679b8c58112ccbba179	b48e96b434a77ac73807a56903e3899e
4064	aa3ca774dfbe9679b8c58112ccbba179	b48e96b434a77ac73807a56903e3899e
4065	aa3ca774dfbe9679b8c58112ccbba179	b48e96b434a77ac73807a56903e3899e
4066	73492eb33725e0a83877a682365e138b	2363e6247f51584cb100ca586b464bcc
4067	73492eb33725e0a83877a682365e138b	2363e6247f51584cb100ca586b464bcc
4068	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
4069	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
4070	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
4071	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
4072	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
4073	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
4074	3295d4a7b5ecf27180a074396f71d182	3aed3da519a186a791c84ba9e27c7b11
